(128, 128, 133)
(132, 139, 127)
(131, 120, 121)
(131, 131, 133)
(130, 132, 131)
(93, 71, 42)
(68, 86, 246)
(210, 88, 42)
(191, 142, 120)
(78, 128, 149)
(84, 69, 5)
(67, 160, 142)
(130, 119, 128)
(124, 129, 126)
(130, 128, 134)
(132, 131, 121)
(124, 129, 129)
(126, 127, 128)
(124, 129, 124)
(135, 121, 133)
(133, 132, 131)
(125, 130, 137)
(131, 132, 123)
(129, 127, 124)
(127, 122, 127)
(120, 133, 133)
(127, 131, 129)
(132, 119, 130)
(140, 131, 126)
(124, 136, 136)
(120, 132, 134)
(135, 125, 115)
(119, 134, 131)
(132, 128, 129)
(120, 132, 134)
(124, 126, 126)
(129, 131, 127)
(132, 131, 124)
(133, 124, 122)
(131, 122, 132)
(120, 129, 122)
(127, 128, 124)
(129, 130, 118)
(133, 133, 118)
(119, 127, 131)
(135, 127, 129)
(128, 133, 114)
(128, 140, 136)
(128, 122, 129)
(130, 121, 130)
(138, 136, 126)
(116, 130, 127)
(117, 119, 131)
(120, 120, 128)
(117, 120, 122)
(134, 123, 119)
(127, 126, 129)
(125, 132, 123)
(127, 124, 131)
(127, 127, 131)
(138, 137, 133)
(126, 124, 136)
(119, 126, 128)
(122, 135, 126)
(129, 129, 131)
(124, 121, 127)
(139, 123, 125)
(132, 119, 128)
(127, 130, 133)
(128, 125, 128)
(122, 145, 132)
(136, 126, 140)
(129, 132, 128)
(122, 138, 126)
(129, 127, 124)
(137, 121, 127)
(123, 126, 134)
(126, 123, 122)
(130, 123, 126)
(129, 128, 139)
(130, 125, 115)
(132, 133, 116)
(124, 132, 121)
(126, 141, 123)
(121, 130, 136)
(116, 116, 133)
(126, 124, 126)
(129, 124, 118)
(124, 130, 115)
